itemID,asin,imUrl
0,097293751X,http://ecx.images-amazon.com/images/I/41Bb6wf%2BqUL._SX300_.jpg
1,9729375011,http://ecx.images-amazon.com/images/I/51r3BLpLWgL._SX300_.jpg
2,B00000IZQI,http://ecx.images-amazon.com/images/I/51E83QCC9HL._SY300_.jpg
3,B00000J3LL,http://ecx.images-amazon.com/images/I/51GoNXhB9iL._SY300_.jpg
4,B00002JV9S,http://ecx.images-amazon.com/images/I/41gVp98nx4L._SY300_.jpg
5,B00002JXFI,http://ecx.images-amazon.com/images/I/41jlvh1lycL._SY300_.jpg
6,B000034DCJ,http://ecx.images-amazon.com/images/I/7164B4YN3GL._SX300_.gif
7,B00003TKWE,http://ecx.images-amazon.com/images/I/31BT8VKZJKL._SX300_.jpg
8,B00003TL3H,http://ecx.images-amazon.com/images/I/41T4QmFqJLL._SX300_.jpg
9,B00003TL7P,http://ecx.images-amazon.com/images/I/31gwHfhqfEL._SY300_.jpg
10,B00003XAKP,http://ecx.images-amazon.com/images/I/31aA%2BSJAg5L._SX300_.jpg
11,B00003XAKR,http://ecx.images-amazon.com/images/I/31pMRovlGCL._SX300_.jpg
12,B000046S2U,http://ecx.images-amazon.com/images/I/318TXAXS8FL._SY300_.jpg
13,B000046S3T,http://ecx.images-amazon.com/images/I/312%2BBe-pVbL._SY300_.jpg
14,B000046S3W,http://ecx.images-amazon.com/images/I/41CCk9VxM-L._SY300_.jpg
15,B0000482F9,http://ecx.images-amazon.com/images/I/310ZoJd2dgL._SY300_.jpg
16,B0000482FN,http://ecx.images-amazon.com/images/I/21NT7NGRQYL.jpg
17,B0000488W1,http://ecx.images-amazon.com/images/I/41322BKTA2L._SX300_.jpg
18,B0000488W2,http://ecx.images-amazon.com/images/I/510HMWC8uGL._SY300_.jpg
19,B00004C8S8,http://ecx.images-amazon.com/images/I/315cvSFIWSL._SX300_.jpg
20,B00004C8S9,http://ecx.images-amazon.com/images/I/31p2hE%2BPG2L._SX300_.jpg
21,B00004D3ES,http://ecx.images-amazon.com/images/I/41D4F4C9DEL._SX300_.jpg
22,B00004D3EU,http://ecx.images-amazon.com/images/I/41PNHRPT1SL._SX300_.jpg
23,B00004RA66,http://ecx.images-amazon.com/images/I/512BG7YADNL._SX300_.jpg
24,B00004TFLB,http://ecx.images-amazon.com/images/I/41wLXKRs9gL._SY300_.jpg
25,B00004TIHX,http://ecx.images-amazon.com/images/I/51PnVQEj4rL._SX300_.jpg
26,B00004W1UB,http://ecx.images-amazon.com/images/I/410yf9EC2DL._SY300_.jpg
27,B00004YMZE,http://ecx.images-amazon.com/images/I/41GCCAGJ79L._SY300_.jpg
28,B00004YT3U,http://ecx.images-amazon.com/images/I/51dxaxoaNVL._SY300_.jpg
29,B00005610Y,http://ecx.images-amazon.com/images/I/413VA99D5HL._SY300_.jpg
30,B000056C86,http://ecx.images-amazon.com/images/I/41FfEykOfBL._SX300_.jpg
31,B000056HM5,http://ecx.images-amazon.com/images/I/41Efq83YgxL._SX300_.jpg
32,B000056HM8,http://ecx.images-amazon.com/images/I/31TQKP23DWL._SX300_.jpg
33,B000056HMB,http://ecx.images-amazon.com/images/I/41u6JoEyLwL._SY300_.jpg
34,B000056HMV,http://ecx.images-amazon.com/images/I/418BRQA3BDL._SY300_.jpg
