asin	itemID
097293751X	0
9729375011	1
B00000IZQI	2
B00000J3LL	3
B00002JV9S	4
B00002JXFI	5
B000034DCJ	6
B00003TKWE	7
B00003TL3H	8
B00003TL7P	9
B00003XAKP	10
B00003XAKR	11
B000046S2U	12
B000046S3T	13
B000046S3W	14
B0000482F9	15
B0000482FN	16
B0000488W1	17
B0000488W2	18
B00004C8S8	19
B00004C8S9	20
B00004D3ES	21
B00004D3EU	22
B00004RA66	23
B00004TFLB	24
B00004TIHX	25
B00004W1UB	26
B00004YMZE	27
B00004YT3U	28
B00005610Y	29
B000056C86	30
B000056HM5	31
B000056HM8	32
B000056HMB	33
B000056HMV	34
B000056HMX	35
B000056HMY	36
B000056HND	37
B000056HNM	38
B000056HNO	39
B000056HNU	40
B000056HNV	41
B000056HNX	42
B000056HNZ	43
B000056J1C	44
B000056J1W	45
B000056J1X	46
B000056J23	47
B000056J2D	48
B000056J39	49
B000056J6T	50
B000056J76	51
B000056J78	52
B000056J7K	53
B000056J8N	54
B000056J90	55
B000056J9F	56
B000056JAK	57
B000056JAZ	58
B000056JB8	59
B000056JC1	60
B000056JCC	61
B000056JCY	62
B000056JEG	63
B000056JHP	64
B000056JHX	65
B000056JIE	66
B000056JIH	67
B000056JJ8	68
B000056JJF	69
B000056JKR	70
B000056JLK	71
B000056JMU	72
B000056JNO	73
B000056OUF	74
B000056OUG	75
B000056OUH	76
B000056OUO	77
B000056OUX	78
B000056OV0	79
B000056OV3	80
B000056OVS	81
B000056OWB	82
B000056OWT	83
B000056W4V	84
B000056W4X	85
B000056W65	86
B000056W6F	87
B000056W7R	88
B000058CC7	89
B000058DI5	90
B000058DJL	91
B000058DLV	92
B000058DM5	93
B000058DN6	94
B000058DN9	95
B000058DNE	96
B000058DPL	97
B000058DPM	98
B000058DPN	99
B000058DQA	100
B000058DQJ	101
B000059XOD	102
B000059XP6	103
B00005AWB7	104
B00005BLBP	105
B00005BLM6	106
B00005BMAL	107
B00005BMDX	108
B00005BOTS	109
B00005BPK5	110
B00005BQ4N	111
B00005BQ4O	112
B00005BSAC	113
B00005BSM3	114
B00005BSXI	115
B00005BT37	116
B00005BTB1	117
B00005BTC5	118
B00005BTNA	119
B00005BU51	120
B00005BUMY	121
B00005BX4W	122
B00005BX4Z	123
B00005BXEY	124
B00005BXI9	125
B00005BXKM	126
B00005BYUJ	127
B00005BYUR	128
B00005BYUS	129
B00005BYUX	130
B00005C0EN	131
B00005C0KD	132
B00005C0PO	133
B00005C1HC	134
B00005C1JP	135
B00005C1TG	136
B00005C1WK	137
B00005C2NP	138
B00005C5H4	139
B00005C5XX	140
B00005C6OI	141
B00005C6P4	142
B00005CAJK	143
B00005CARW	144
B00005CBBF	145
B00005CFA8	146
B00005JIVI	147
B00005LBZF	148
B00005MKYI	149
B00005N9X5	150
B00005N9X8	151
B00005NCAW	152
B00005QBW7	153
B00005QBWZ	154
B00005QBXC	155
B00005QSKC	156
B00005QXPE	157
B00005RCS1	158
B00005RH5J	159
B00005TNIH	160
B00005TZJJ	161
B00005U8T5	162
B00005UC6D	163
B00005UC6Q	164
B00005V5MU	165
B00005V6C8	166
B00005V95L	167
B00005V9NV	168
B00005Y1VE	169
B00005YVRM	170
B00005YWN0	171
B00005YXVW	172
B00005YYE3	173
B0000630KW	174
B0000634T0	175
B0000635WI	176
B000063XV4	177
B00006408K	178
B0000645D7	179
B0000645DP	180
B0000646RF	181
B0000649E1	182
B0000649E5	183
B000066665	184
B000066CMV	185
B000067BIZ	186
B000067EH7	187
B000067PIZ	188
B000067PPZ	189
B000067PQ0	190
B000067PRC	191
B000067Q6J	192
B000067Q6K	193
B000067Q6S	194
B000067QMD	195
B000067QMJ	196
B000067QZI	197
B000068OJ5	198
B000068P9S	199
B000068QH6	200
B00006966I	201
B000069EXN	202
B000069RAO	203
B00006AKYN	204
B00006C29H	205
B00006FWVR	206
B00006G963	207
B00006G9LI	208
B00006JZEN	209
B00006JZHD	210
B00006S3RX	211
B00006ZCCE	212
B00006ZCCF	213
B000071OVQ	214
B000071OVV	215
B0000789S0	216
B0000789SZ	217
B0000789TD	218
B0000789TL	219
B0000798KZ	220
B0000798L0	221
B00007B769	222
B00007B76C	223
B00007C65S	224
B00007DWBH	225
B00007DWDZ	226
B00007E9C9	227
B00007E9CC	228
B00007E9CG	229
B00007H1YR	230
B00007L11C	231
B00007LB17	232
B00007LP11	233
B000083GHY	234
B000083JTJ	235
